millis;AcX;AcY;AcZ;T(Celsius);GyX;GyY;GyZ
9326;-784;-152;17312;25.66;127;72;14
9676;-740;-100;17216;25.57;91;61;32
10012;-856;-8;17292;25.66;143;136;-121
10349;-772;-56;17316;25.57;239;139;-4
10686;-744;-80;17260;25.61;230;143;41
11023;-732;-40;17260;25.66;162;109;32
11359;-848;-224;17256;25.52;116;53;35
11696;-764;-44;17300;25.57;155;81;6
12033;-712;-48;17368;25.71;324;188;13
12369;-736;-608;17368;25.66;-3218;73;-211
12706;-512;-5356;16468;25.61;-3824;924;-2058
13043;-756;-8168;14960;25.71;-2340;-482;561
13380;-536;-10404;13192;25.61;-5179;766;-1389
13717;-404;-13424;10240;25.61;-9045;740;-861
14054;-16;-15784;4928;25.61;-7840;1020;-915
14391;328;-16288;168;25.52;2472;-134;-371
14728;300;-16212;64;25.71;-308;124;134
15065;252;-16240;-300;25.71;-59;389;72
15400;212;-16284;-500;25.66;256;117;-14
15737;400;-16196;-428;25.75;-33;-455;61
16074;340;-16260;-524;25.66;319;117;7
16411;180;-16432;-688;25.57;211;105;44
16748;-264;-16228;-332;25.66;140;429;42
17084;36;-16304;-1172;25.66;63;78;14
17421;304;-16180;-604;25.71;892;-344;-131
17758;296;-16376;-684;25.61;984;258;35
18095;212;-16148;1832;25.75;5682;-598;456
18432;60;-15644;5492;25.71;11466;-4314;2224
18768;-788;-10956;13152;25.71;10786;262;-12
19105;-728;-1424;16764;25.75;25773;1969;-2077
19442;-668;-72;17348;25.61;197;109;-142
19779;-804;-80;17120;25.71;161;117;8
20116;-940;108;17132;25.66;192;149;-9
20453;-672;-44;17288;25.66;176;121;-1
20789;-728;-108;17184;25.66;181;98;34
21126;-752;12;17280;25.66;312;172;-377
21463;-776;108;17292;25.61;243;118;-99
21799;-804;-52;17424;25.66;248;122;-54
22136;-800;40;17096;25.61;161;115;-37

