millis;AcX;AcY;AcZ;T(Celsius);GyX;GyY;GyZ
8745;1232;104;17124;28.91;109;172;46
9095;1352;112;17172;28.86;160;91;-4
9432;1396;184;17276;28.81;147;221;20
9768;1412;184;17196;28.81;137;118;39
10104;1300;224;17140;28.77;158;111;29
10441;1288;172;17172;28.81;157;145;7
10778;1360;280;17244;28.86;169;104;33
11115;1148;368;17196;28.86;138;129;15
11452;1188;268;17192;28.86;180;135;63
11789;1180;76;17220;28.77;169;99;26
12125;1360;48;16948;28.91;175;87;25
12462;1200;236;17228;28.81;169;92;34
12798;1396;164;17152;28.91;172;131;39
13135;1404;120;17096;28.81;159;118;12
13472;1276;68;17016;28.91;156;95;32
13808;1248;100;17324;28.81;151;121;32
14145;1508;-104;16760;28.81;110;91;38
14482;1248;200;16980;28.81;156;94;36
14819;1196;96;17140;28.81;165;106;29
15156;1296;48;17152;28.81;182;102;35
15493;1304;120;17088;28.81;161;115;58
15830;1284;152;17180;28.86;174;120;36
16165;1308;108;17068;28.86;166;64;41
16502;1260;108;17032;28.86;159;161;37
16839;1172;-28;17184;28.91;162;146;7
17176;1408;-8;17212;28.81;147;137;38
17513;1148;152;17120;28.81;175;158;33
17849;1284;136;17164;28.91;154;104;12
18186;1312;132;17152;28.86;157;156;9
18523;1312;184;17120;28.86;161;115;40
18860;1316;88;17024;28.86;174;50;47
19196;1332;136;17088;28.81;159;135;24
19533;1228;104;17124;28.72;165;77;28
19870;1316;108;17172;28.86;151;106;13
20206;1196;84;17152;28.81;161;133;20
20543;1280;136;17140;28.86;148;75;3
20880;1276;660;17128;28.86;164;13;2
21217;1448;-1632;18552;28.77;1055;270;-46
21554;-824;-7308;16328;28.81;44;622;29751
21891;-44;-3496;17284;28.77;-1353;-1102;-14925
22227;-3244;-5964;17936;28.86;-5861;194;-32768
22564;-2872;14660;13088;28.81;11318;4102;32767
22901;-4292;15124;16772;28.81;-5992;908;-32768
23238;1532;-4240;16472;28.86;1863;58;30795
23576;408;-18772;16556;28.81;-29566;-13451;32767
23913;228;284;17144;28.81;153;122;16
24250;1100;8440;18912;28.81;-11318;-5640;21751
24587;2176;1912;23644;28.86;-15773;-14708;23630
24924;7656;-1848;-7548;28.86;-9432;-11438;-28345
25261;-2904;-7780;-10312;28.81;12238;-25339;6934
25598;-5896;-1964;-16888;28.81;-17187;32767;-10702
25935;11096;-6804;17088;28.72;-4072;27395;-13238
26272;156;-1112;23364;28.81;-1385;15133;17094
26609;-1348;-2632;17928;28.77;217;-8248;-585
26947;-6592;-3592;16004;28.77;-5384;4574;-31
27284;-12800;-5052;9404;28.77;-2369;1497;-3382
27621;2248;-792;-11192;28.81;12607;32767;14941
27958;8044;-2588;-14104;28.81;-501;-8145;-2164
28295;-8072;-2732;5964;28.81;-12968;-32768;-3758
28632;2164;-8676;9488;28.77;-8195;12485;797
28968;-3056;-17420;4732;28.86;-32768;17510;-11042
29306;1248;-4288;-14284;28.86;-25585;24118;12159
29643;3580;5380;-15304;28.77;4380;-757;309
29980;1708;-18568;3308;28.77;32767;-18807;81
30317;-2480;-4492;18288;28.86;14371;24522;-940
30654;732;228;6200;28.77;8064;31100;3838
30991;3908;4876;9912;28.81;16626;-15865;15244
31329;3032;13704;-3688;28.81;8457;-7624;-6838
31666;-4144;14944;-756;28.72;9607;-5794;-5406
32003;-8828;5560;-11784;28.86;-300;3763;1789
32339;-3044;6236;-244;28.81;-32768;8120;5074
32676;-7924;-6144;13824;28.81;-4259;-659;18972
33013;-420;692;16704;28.77;831;-173;83
33350;-644;416;17204;28.77;141;144;12
33687;-548;420;17240;28.86;153;115;5
34024;-636;348;16748;28.81;146;117;13
34361;-696;208;17064;28.91;147;159;30
34697;-600;292;17096;28.77;154;171;26
35034;-620;296;17228;28.77;168;117;45
35371;-632;288;17052;28.77;130;76;19
35707;-724;384;17104;28.77;159;95;42
36044;-620;216;17024;28.81;150;126;27
36380;-552;240;17212;28.81;185;158;46
36717;-580;276;17352;28.77;191;109;37
37054;-676;392;17076;28.67;138;38;27
37391;-552;200;17056;28.77;171;148;1
37728;-784;272;17060;28.86;100;94;36
38064;-520;304;17160;28.72;137;125;39
38401;-780;472;17312;28.86;200;-138;68
38737;-540;388;17192;28.77;153;55;32
39074;-576;216;17468;28.81;178;184;23
39411;-9684;3368;31664;28.81;-457;-1267;-105
39748;-3920;1996;29212;28.77;822;-1265;112
40085;-1264;432;18368;28.81;297;-41;41
40422;-1320;1668;17324;28.72;-257;46;13
40758;-304;-316;16208;28.77;196;175;15
41095;-228;-432;16016;28.77;335;117;34
41432;-524;268;17084;28.77;254;38;49
41768;-572;96;17124;28.77;187;112;29
42105;-608;316;16756;28.77;163;322;16
42442;-592;200;16980;28.77;118;235;0
42778;-504;236;17108;28.86;145;217;11
43115;-700;236;17032;28.81;169;174;27
43452;-600;256;17024;28.77;171;125;59
43789;-640;264;17136;28.67;163;148;23
44126;-564;288;17152;28.72;152;125;28
44462;-608;128;17140;28.72;154;86;20
44798;-660;224;17128;28.72;169;89;29
45135;-684;392;17280;28.67;65;115;20
45472;-652;224;17056;28.67;156;129;8
45809;-708;260;17100;28.81;152;129;39
46145;-632;248;17136;28.72;184;108;36
46482;-620;196;17300;28.81;151;135;41
46819;-572;320;16888;28.81;132;118;23
47156;-620;112;16920;28.81;99;123;25
47493;-704;248;17176;28.77;182;70;19
47828;-620;192;17200;28.67;170;88;43
48165;-612;128;17264;28.81;174;102;58
