millis;AcX;AcY;AcZ;T(Celsius);GyX;GyY;GyZ;t (s);AcXg;AcYg;AcZg;AcX m/s2;AcY m/s2;AcZ m/s2;GyXº/s;GyYº/s;GyZº/s
8745;1232;104;17124;28,91;109;172;46;8,745;0,075;0,006;1,045;0,737;0,062;10,243;0,832;1,313;0,351
9095;1352;112;17172;28,86;160;91;-4;9,095;0,083;0,007;1,048;0,809;0,067;10,271;1,221;0,695;-0,031
9432;1396;184;17276;28,81;147;221;20;9,432;0,085;0,011;1,054;0,835;0,110;10,334;1,122;1,687;0,153
9768;1412;184;17196;28,81;137;118;39;9,768;0,086;0,011;1,050;0,845;0,110;10,286;1,046;0,901;0,298
10104;1300;224;17140;28,77;158;111;29;10,104;0,079;0,014;1,046;0,778;0,134;10,252;1,206;0,847;0,221
10441;1288;172;17172;28,81;157;145;7;10,441;0,079;0,010;1,048;0,770;0,103;10,271;1,198;1,107;0,053
10778;1360;280;17244;28,86;169;104;33;10,778;0,083;0,017;1,052;0,813;0,167;10,314;1,290;0,794;0,252
11115;1148;368;17196;28,86;138;129;15;11,115;0,070;0,022;1,050;0,687;0,220;10,286;1,053;0,985;0,115
11452;1188;268;17192;28,86;180;135;63;11,452;0,073;0,016;1,049;0,711;0,160;10,283;1,374;1,031;0,481
11789;1180;76;17220;28,77;169;99;26;11,789;0,072;0,005;1,051;0,706;0,045;10,300;1,290;0,756;0,198
12125;1360;48;16948;28,91;175;87;25;12,125;0,083;0,003;1,034;0,813;0,029;10,137;1,336;0,664;0,191
12462;1200;236;17228;28,81;169;92;34;12,462;0,073;0,014;1,052;0,718;0,141;10,305;1,290;0,702;0,260
12798;1396;164;17152;28,91;172;131;39;12,798;0,085;0,010;1,047;0,835;0,098;10,259;1,313;1,000;0,298
13135;1404;120;17096;28,81;159;118;12;13,135;0,086;0,007;1,043;0,840;0,072;10,226;1,214;0,901;0,092
13472;1276;68;17016;28,91;156;95;32;13,472;0,078;0,004;1,039;0,763;0,041;10,178;1,191;0,725;0,244
13808;1248;100;17324;28,81;151;121;32;13,808;0,076;0,006;1,057;0,746;0,060;10,362;1,153;0,924;0,244
14145;1508;-104;16760;28,81;110;91;38;14,145;0,092;-0,006;1,023;0,902;-0,062;10,025;0,840;0,695;0,290
14482;1248;200;16980;28,81;156;94;36;14,482;0,076;0,012;1,036;0,746;0,120;10,156;1,191;0,718;0,275
14819;1196;96;17140;28,81;165;106;29;14,819;0,073;0,006;1,046;0,715;0,057;10,252;1,260;0,809;0,221
15156;1296;48;17152;28,81;182;102;35;15,156;0,079;0,003;1,047;0,775;0,029;10,259;1,389;0,779;0,267
15493;1304;120;17088;28,81;161;115;58;15,493;0,080;0,007;1,043;0,780;0,072;10,221;1,229;0,878;0,443
15830;1284;152;17180;28,86;174;120;36;15,830;0,078;0,009;1,049;0,768;0,091;10,276;1,328;0,916;0,275
16165;1308;108;17068;28,86;166;64;41;16,165;0,080;0,007;1,042;0,782;0,065;10,209;1,267;0,489;0,313
16502;1260;108;17032;28,86;159;161;37;16,502;0,077;0,007;1,040;0,754;0,065;10,188;1,214;1,229;0,282
16839;1172;-28;17184;28,91;162;146;7;16,839;0,072;-0,002;1,049;0,701;-0,017;10,279;1,237;1,115;0,053
17176;1408;-8;17212;28,81;147;137;38;17,176;0,086;0,000;1,051;0,842;-0,005;10,295;1,122;1,046;0,290
17513;1148;152;17120;28,81;175;158;33;17,513;0,070;0,009;1,045;0,687;0,091;10,240;1,336;1,206;0,252
17849;1284;136;17164;28,91;154;104;12;17,849;0,078;0,008;1,048;0,768;0,081;10,267;1,176;0,794;0,092
18186;1312;132;17152;28,86;157;156;9;18,186;0,080;0,008;1,047;0,785;0,079;10,259;1,198;1,191;0,069
18523;1312;184;17120;28,86;161;115;40;18,523;0,080;0,011;1,045;0,785;0,110;10,240;1,229;0,878;0,305
18860;1316;88;17024;28,86;174;50;47;18,860;0,080;0,005;1,039;0,787;0,053;10,183;1,328;0,382;0,359
19196;1332;136;17088;28,81;159;135;24;19,196;0,081;0,008;1,043;0,797;0,081;10,221;1,214;1,031;0,183
19533;1228;104;17124;28,72;165;77;28;19,533;0,075;0,006;1,045;0,735;0,062;10,243;1,260;0,588;0,214
19870;1316;108;17172;28,86;151;106;13;19,870;0,080;0,007;1,048;0,787;0,065;10,271;1,153;0,809;0,099
20206;1196;84;17152;28,81;161;133;20;20,206;0,073;0,005;1,047;0,715;0,050;10,259;1,229;1,015;0,153
20543;1280;136;17140;28,86;148;75;3;20,543;0,078;0,008;1,046;0,766;0,081;10,252;1,130;0,573;0,023
20880;1276;660;17128;28,86;164;13;2;20,880;0,078;0,040;1,045;0,763;0,395;10,245;1,252;0,099;0,015
21217;1448;-1632;18552;28,77;1055;270;-46;21,217;0,088;-0,100;1,132;0,866;-0,976;11,097;8,053;2,061;-0,351
21554;-824;-7308;16328;28,81;44;622;29751;21,554;-0,050;-0,446;0,997;-0,493;-4,371;9,767;0,336;4,748;227,107
21891;-44;-3496;17284;28,77;-1353;-1102;-14925;21,891;-0,003;-0,213;1,055;-0,026;-2,091;10,338;-10,328;-8,412;-113,931
22227;-3244;-5964;17936;28,86;-5861;194;-32768;22,227;-0,198;-0,364;1,095;-1,940;-3,567;10,728;-44,740;1,481;-250,137
22564;-2872;14660;13088;28,81;11318;4102;32767;22,564;-0,175;0,895;0,799;-1,718;8,769;7,829;86,397;31,313;250,130
22901;-4292;15124;16772;28,81;-5992;908;-32768;22,901;-0,262;0,923;1,024;-2,567;9,046;10,032;-45,740;6,931;-250,137
23238;1532;-4240;16472;28,86;1863;58;30795;23,238;0,094;-0,259;1,005;0,916;-2,536;9,853;14,221;0,443;235,076
23576;408;-18772;16556;28,81;-29566;-13451;32767;23,576;0,025;-1,146;1,010;0,244;-11,228;9,903;-225,695;-102,679;250,130
23913;228;284;17144;28,81;153;122;16;23,913;0,014;0,017;1,046;0,136;0,170;10,255;1,168;0,931;0,122
24250;1100;8440;18912;28,81;-11318;-5640;21751;24,250;0,067;0,515;1,154;0,658;5,048;11,312;-86,397;-43,053;166,038
24587;2176;1912;23644;28,86;-15773;-14708;23630;24,587;0,133;0,117;1,443;1,302;1,144;14,143;-120,405;-112,275;180,382
24924;7656;-1848;-7548;28,86;-9432;-11438;-28345;24,924;0,467;-0,113;-0,461;4,579;-1,105;-4,515;-72,000;-87,313;-216,374
25261;-2904;-7780;-10312;28,81;12238;-25339;6934;25,261;-0,177;-0,475;-0,629;-1,737;-4,654;-6,168;93,420;-193,427;52,931
25598;-5896;-1964;-16888;28,81;-17187;32767;-10702;25,598;-0,360;-0,120;-1,031;-3,527;-1,175;-10,101;-131,198;250,130;-81,695
25935;11096;-6804;17088;28,72;-4072;27395;-13238;25,935;0,677;-0,415;1,043;6,637;-4,070;10,221;-31,084;209,122;-101,053
26272;156;-1112;23364;28,81;-1385;15133;17094;26,272;0,010;-0,068;1,426;0,093;-0,665;13,975;-10,573;115,519;130,489
26609;-1348;-2632;17928;28,77;217;-8248;-585;26,609;-0,082;-0,161;1,094;-0,806;-1,574;10,724;1,656;-62,962;-4,466
26947;-6592;-3592;16004;28,77;-5384;4574;-31;26,947;-0,402;-0,219;0,977;-3,943;-2,149;9,573;-41,099;34,916;-0,237
27284;-12800;-5052;9404;28,77;-2369;1497;-3382;27,284;-0,781;-0,308;0,574;-7,656;-3,022;5,625;-18,084;11,427;-25,817
27621;2248;-792;-11192;28,81;12607;32767;14941;27,621;0,137;-0,048;-0,683;1,345;-0,474;-6,694;96,237;250,130;114,053
27958;8044;-2588;-14104;28,81;-501;-8145;-2164;27,958;0,491;-0,158;-0,861;4,811;-1,548;-8,436;-3,824;-62,176;-16,519
28295;-8072;-2732;5964;28,81;-12968;-32768;-3758;28,295;-0,493;-0,167;0,364;-4,828;-1,634;3,567;-98,992;-250,137;-28,687
28632;2164;-8676;9488;28,77;-8195;12485;797;28,632;0,132;-0,530;0,579;1,294;-5,190;5,675;-62,557;95,305;6,084
28968;-3056;-17420;4732;28,86;-32768;17510;-11042;28,968;-0,187;-1,063;0,289;-1,828;-10,420;2,830;-250,137;133,664;-84,290
29306;1248;-4288;-14284;28,86;-25585;24118;12159;29,306;0,076;-0,262;-0,872;0,746;-2,565;-8,544;-195,305;184,107;92,817
29643;3580;5380;-15304;28,77;4380;-757;309;29,643;0,219;0,328;-0,934;2,141;3,218;-9,154;33,435;-5,779;2,359
29980;1708;-18568;3308;28,77;32767;-18807;81;29,980;0,104;-1,133;0,202;1,022;-11,106;1,979;250,130;-143,565;0,618
30317;-2480;-4492;18288;28,86;14371;24522;-940;30,317;-0,151;-0,274;1,116;-1,483;-2,687;10,939;109,702;187,191;-7,176
30654;732;228;6200;28,77;8064;31100;3838;30,654;0,045;0,014;0,378;0,438;0,136;3,708;61,557;237,405;29,298
30991;3908;4876;9912;28,81;16626;-15865;15244;30,991;0,239;0,298;0,605;2,338;2,917;5,929;126,916;-121,107;116,366
31329;3032;13704;-3688;28,81;8457;-7624;-6838;31,329;0,185;0,836;-0,225;1,814;8,197;-2,206;64,557;-58,198;-52,198
31666;-4144;14944;-756;28,72;9607;-5794;-5406;31,666;-0,253;0,912;-0,046;-2,479;8,939;-0,452;73,336;-44,229;-41,267
32003;-8828;5560;-11784;28,86;-300;3763;1789;32,003;-0,539;0,339;-0,719;-5,280;3,326;-7,049;-2,290;28,725;13,656
32339;-3044;6236;-244;28,81;-32768;8120;5074;32,339;-0,186;0,381;-0,015;-1,821;3,730;-0,146;-250,137;61,985;38,733
32676;-7924;-6144;13824;28,81;-4259;-659;18972;32,676;-0,484;-0,375;0,844;-4,740;-3,675;8,269;-32,511;-5,031;144,824
33013;-420;692;16704;28,77;831;-173;83;33,013;-0,026;0,042;1,020;-0,251;0,414;9,991;6,344;-1,321;0,634
33350;-644;416;17204;28,77;141;144;12;33,350;-0,039;0,025;1,050;-0,385;0,249;10,290;1,076;1,099;0,092
33687;-548;420;17240;28,86;153;115;5;33,687;-0,033;0,026;1,052;-0,328;0,251;10,312;1,168;0,878;0,038
34024;-636;348;16748;28,81;146;117;13;34,024;-0,039;0,021;1,022;-0,380;0,208;10,018;1,115;0,893;0,099
34361;-696;208;17064;28,91;147;159;30;34,361;-0,042;0,013;1,042;-0,416;0,124;10,207;1,122;1,214;0,229
34697;-600;292;17096;28,77;154;171;26;34,697;-0,037;0,018;1,043;-0,359;0,175;10,226;1,176;1,305;0,198
35034;-620;296;17228;28,77;168;117;45;35,034;-0,038;0,018;1,052;-0,371;0,177;10,305;1,282;0,893;0,344
35371;-632;288;17052;28,77;130;76;19;35,371;-0,039;0,018;1,041;-0,378;0,172;10,200;0,992;0,580;0,145
35707;-724;384;17104;28,77;159;95;42;35,707;-0,044;0,023;1,044;-0,433;0,230;10,231;1,214;0,725;0,321
36044;-620;216;17024;28,81;150;126;27;36,044;-0,038;0,013;1,039;-0,371;0,129;10,183;1,145;0,962;0,206
36380;-552;240;17212;28,81;185;158;46;36,380;-0,034;0,015;1,051;-0,330;0,144;10,295;1,412;1,206;0,351
36717;-580;276;17352;28,77;191;109;37;36,717;-0,035;0,017;1,059;-0,347;0,165;10,379;1,458;0,832;0,282
37054;-676;392;17076;28,67;138;38;27;37,054;-0,041;0,024;1,042;-0,404;0,234;10,214;1,053;0,290;0,206
37391;-552;200;17056;28,77;171;148;1;37,391;-0,034;0,012;1,041;-0,330;0,120;10,202;1,305;1,130;0,008
37728;-784;272;17060;28,86;100;94;36;37,728;-0,048;0,017;1,041;-0,469;0,163;10,204;0,763;0,718;0,275
38064;-520;304;17160;28,72;137;125;39;38,064;-0,032;0,019;1,047;-0,311;0,182;10,264;1,046;0,954;0,298
38401;-780;472;17312;28,86;200;-138;68;38,401;-0,048;0,029;1,057;-0,467;0,282;10,355;1,527;-1,053;0,519
38737;-540;388;17192;28,77;153;55;32;38,737;-0,033;0,024;1,049;-0,323;0,232;10,283;1,168;0,420;0,244
39074;-576;216;17468;28,81;178;184;23;39,074;-0,035;0,013;1,066;-0,345;0,129;10,448;1,359;1,405;0,176
39411;-9684;3368;31664;28,81;-457;-1267;-105;39,411;-0,591;0,206;1,933;-5,792;2,015;18,940;-3,489;-9,672;-0,802
39748;-3920;1996;29212;28,77;822;-1265;112;39,748;-0,239;0,122;1,783;-2,345;1,194;17,473;6,275;-9,656;0,855
40085;-1264;432;18368;28,81;297;-41;41;40,085;-0,077;0,026;1,121;-0,756;0,258;10,987;2,267;-0,313;0,313
40422;-1320;1668;17324;28,72;-257;46;13;40,422;-0,081;0,102;1,057;-0,790;0,998;10,362;-1,962;0,351;0,099
40758;-304;-316;16208;28,77;196;175;15;40,758;-0,019;-0,019;0,989;-0,182;-0,189;9,695;1,496;1,336;0,115
41095;-228;-432;16016;28,77;335;117;34;41,095;-0,014;-0,026;0,978;-0,136;-0,258;9,580;2,557;0,893;0,260
41432;-524;268;17084;28,77;254;38;49;41,432;-0,032;0,016;1,043;-0,313;0,160;10,219;1,939;0,290;0,374
41768;-572;96;17124;28,77;187;112;29;41,768;-0,035;0,006;1,045;-0,342;0,057;10,243;1,427;0,855;0,221
42105;-608;316;16756;28,77;163;322;16;42,105;-0,037;0,019;1,023;-0,364;0,189;10,023;1,244;2,458;0,122
42442;-592;200;16980;28,77;118;235;0;42,442;-0,036;0,012;1,036;-0,354;0,120;10,156;0,901;1,794;0,000
42778;-504;236;17108;28,86;145;217;11;42,778;-0,031;0,014;1,044;-0,301;0,141;10,233;1,107;1,656;0,084
43115;-700;236;17032;28,81;169;174;27;43,115;-0,043;0,014;1,040;-0,419;0,141;10,188;1,290;1,328;0,206
43452;-600;256;17024;28,77;171;125;59;43,452;-0,037;0,016;1,039;-0,359;0,153;10,183;1,305;0,954;0,450
43789;-640;264;17136;28,67;163;148;23;43,789;-0,039;0,016;1,046;-0,383;0,158;10,250;1,244;1,130;0,176
44126;-564;288;17152;28,72;152;125;28;44,126;-0,034;0,018;1,047;-0,337;0,172;10,259;1,160;0,954;0,214
44462;-608;128;17140;28,72;154;86;20;44,462;-0,037;0,008;1,046;-0,364;0,077;10,252;1,176;0,656;0,153
44798;-660;224;17128;28,72;169;89;29;44,798;-0,040;0,014;1,045;-0,395;0,134;10,245;1,290;0,679;0,221
45135;-684;392;17280;28,67;65;115;20;45,135;-0,042;0,024;1,055;-0,409;0,234;10,336;0,496;0,878;0,153
45472;-652;224;17056;28,67;156;129;8;45,472;-0,040;0,014;1,041;-0,390;0,134;10,202;1,191;0,985;0,061
