millis;AcX;AcY;AcZ;T(Celsius);GyX;GyY;GyZ
15141;-1064;296;17356;23.07;324;88;7
15491;-1088;204;17240;23.02;209;134;35
15827;-1020;36;17480;23.12;241;106;61
16164;-1028;0;17428;23.07;258;123;15
16501;-936;160;17484;23.12;252;127;-30
16838;-996;-56;17376;23.17;226;105;16
17174;-1052;132;17352;23.07;237;83;16
17511;-1076;8;17348;23.21;274;122;10
17848;-1012;80;17480;23.12;268;118;29
18185;-1136;148;17484;23.21;271;71;15
18522;-1016;56;17404;23.35;260;84;10
18857;-1084;96;17432;23.21;259;114;35
19194;-1104;156;17440;23.21;286;98;30
19531;-984;92;17372;23.21;264;125;12
19868;-1120;72;17236;23.12;287;88;15
20205;-1172;92;12720;21.42;314;134;8
20541;-816;24;8024;6.41;477;126;-17
20878;-1144;292;15436;-10.25;443;83;-22
21215;-1816;220;17600;-15.56;495;106;-67
21552;-1376;156;18936;-17.31;419;133;-38
21889;-1560;36;19136;-14.58;442;121;-41
22225;-1092;176;19272;-11.85;421;145;-22
22562;-1328;244;18848;-9.73;398;149;-21
22898;-1408;256;18984;-7.52;437;123;8
23235;-1228;68;18952;-5.82;412;118;0
23572;-1240;176;18852;-4.74;410;121;-21
23909;-1356;232;18832;-3.66;414;100;2
24246;-384;-60;17964;-3.75;325;234;-61
24582;-1336;60;18152;-15.19;363;152;-21
24919;-1320;48;18884;-15.38;382;159;-19
25255;-1040;92;19076;-14.81;383;159;-80
25592;-1168;-16;19324;-14.25;388;135;-16
25929;-1372;-116;19276;-13.49;426;118;-34
26266;-1132;-92;19244;-12.41;390;128;-33
26602;-1212;184;17736;-12.51;434;224;-84
26939;-1420;36;18244;-18.91;415;102;-26
27276;-1328;24;18704;-20.18;370;155;-11
27613;-1424;72;19204;-20.46;379;120;-22
27950;-1660;20;19416;-20.41;405;94;-21
28286;-1284;252;19596;-20.36;420;127;-29
28622;-632;-204;18048;-20.13;328;275;-29
28959;-948;60;18904;-19.42;434;183;-7
29296;-1428;172;19976;-18.67;401;118;-13
29633;-1436;320;19672;-18.01;420;149;1
29970;-1528;4;20096;-17.40;451;137;18
30307;-1412;296;19900;-16.79;426;166;26
30643;-1184;428;19904;-16.27;416;123;-11
30980;-1568;56;19816;-15.80;403;121;6
31316;-1472;84;19876;-15.47;419;125;-12
31653;-1220;-40;19924;-15.09;452;57;-46
31990;-1176;-20;19708;-14.91;414;129;-45
32327;-1336;204;19828;-14.53;405;152;-30
32664;-1692;40;19552;-14.20;453;131;8
33000;-1248;184;19524;-14.06;408;118;-27
33337;-1540;100;19804;-13.63;419;149;-28
33674;-1480;196;19680;-13.45;428;142;-4
34011;-1356;108;19380;-13.12;383;153;-18
34348;-1320;224;19692;-12.93;429;89;-6
34684;-1364;160;19668;-12.60;439;109;-15
35020;-1408;144;19936;-12.22;433;122;11
35357;-1360;256;19632;-11.75;414;74;0
35694;-1500;460;19560;-11.28;400;143;-24
